epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,784.589,0.7866,0.60417,1.14738,0.76872,0.96,0.84076,0.52324,1.32615,0.90752,1.43134,0.000416,0.000416,0.000416
82,794.321,0.79078,0.60541,1.12267,0.77424,0.94,0.83615,0.5205,1.33022,0.93506,1.43398,0.0003962,0.0003962,0.0003962
83,803.933,0.74768,0.57905,1.08976,0.77424,0.94,0.83615,0.5205,1.33022,0.93506,1.43398,0.0003764,0.0003764,0.0003764
84,813.728,0.75526,0.57445,1.11304,0.75817,0.94056,0.82546,0.5082,1.34199,0.95158,1.45288,0.0003566,0.0003566,0.0003566
85,823.485,0.77121,0.57369,1.10151,0.78635,0.95699,0.82796,0.49545,1.3672,0.95359,1.48399,0.0003368,0.0003368,0.0003368
86,833.184,0.74891,0.59754,1.1147,0.78754,0.96,0.8473,0.51745,1.36847,0.92759,1.47473,0.000317,0.000317,0.000317
87,843.125,0.79154,0.61034,1.12561,0.78754,0.96,0.8473,0.51745,1.36847,0.92759,1.47473,0.0002972,0.0002972,0.0002972
88,852.87,0.73308,0.56901,1.09854,0.79876,0.9527,0.83733,0.51613,1.36026,0.91131,1.4592,0.0002774,0.0002774,0.0002774
89,862.597,0.72162,0.57628,1.1002,0.79168,0.94,0.8266,0.50535,1.34518,0.8965,1.44615,0.0002576,0.0002576,0.0002576
90,872.276,0.70509,0.61886,1.13374,0.79463,0.94,0.8299,0.51047,1.34344,0.90015,1.45253,0.0002378,0.0002378,0.0002378
91,881.902,0.66644,0.63146,1.05807,0.79463,0.94,0.8299,0.51047,1.34344,0.90015,1.45253,0.000218,0.000218,0.000218
92,891.443,0.68832,0.64998,1.09572,0.80258,0.94,0.84678,0.51649,1.33918,0.92316,1.46045,0.0001982,0.0001982,0.0001982
93,901.062,0.6534,0.58333,1.03896,0.804,0.94,0.86038,0.53613,1.33841,0.93942,1.46954,0.0001784,0.0001784,0.0001784
94,910.662,0.62181,0.56365,1.03294,0.79989,0.96,0.88925,0.56072,1.33265,0.94098,1.46918,0.0001586,0.0001586,0.0001586
95,920.148,0.62056,0.55004,1.00765,0.79989,0.96,0.88925,0.56072,1.33265,0.94098,1.46918,0.0001388,0.0001388,0.0001388
96,929.606,0.65323,0.59072,1.06982,0.80745,0.94,0.90378,0.57029,1.32616,0.93492,1.4732,0.000119,0.000119,0.000119
97,939.016,0.64393,0.57674,1.07107,0.82323,0.93151,0.91115,0.57402,1.32643,0.91433,1.47982,9.92e-05,9.92e-05,9.92e-05
98,948.501,0.62478,0.55421,1.06258,0.82639,0.95211,0.91763,0.57761,1.32666,0.89795,1.49052,7.94e-05,7.94e-05,7.94e-05
99,957.995,0.57384,0.53245,1.00375,0.82639,0.95211,0.91763,0.57761,1.32666,0.89795,1.49052,5.96e-05,5.96e-05,5.96e-05
100,967.485,0.61397,0.53522,1.04418,0.82605,0.94984,0.91982,0.58455,1.32322,0.89031,1.48752,3.98e-05,3.98e-05,3.98e-05
